"Country_N","Country","Team_Matches_Played","Matches_Won","Points","Rating","Matches_Lost","Matches_Tied","Win_outcome","Avg_Runs_Per_Wicket_Batting","Avg_Runs_Per_Six_Balls_Batting","Highest_Team_Score_Batting","Avg_Runs_Per_Wicket_Bowling","Avg_Runs_Per_Six_Balls_Bowling","Number_Of_Team_Innings_Bowling","Highest_Team_Score_Bowling","Lowest_Completed_Score_Bowling","Partners","Partnership_Career_Span","Number_Of_Partnerships","Unbroken_Partnerships","Total_Partnership_Runs","Highest_Partnership","Avg_Partnership_Per_Dismissal","Century_Partnerships","Fifty_Runs_And_Over_Partnerships","Margin","Target","Opposition","Ground","Match_Date"
14,"Ireland",61,26,534,36,29,0,0,19.54,7.14,225,18.83,7.13,57,233,53,"TJ Murtagh, MC Sorensen","2014-2016",2,1,20,"17","20",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,0,19.54,7.14,225,18.83,7.13,57,233,53,"TJ Murtagh, MC Sorensen","2014-2016",2,1,20,"17","20",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,0,19.54,7.14,225,18.83,7.13,57,233,53,"TJ Murtagh, MC Sorensen","2014-2016",2,1,20,"17","20",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,0,19.54,7.14,225,18.83,7.13,57,233,53,"AR Cusack, WTS Porterfield","2015-2015",1,1,18,"18*","-",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,0,19.54,7.14,225,18.83,7.13,57,233,53,"AR Cusack, WTS Porterfield","2015-2015",1,1,18,"18*","-",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,0,19.54,7.14,225,18.83,7.13,57,233,53,"AR Cusack, WTS Porterfield","2015-2015",1,1,18,"18*","-",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,0,19.54,7.14,225,18.83,7.13,57,233,53,"GH Dockrell, GJ Thompson","2017-2017",3,0,18,"17","6",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
14,"Ireland",61,26,534,36,29,0,0,19.54,7.14,225,18.83,7.13,57,233,53,"GH Dockrell, GJ Thompson","2017-2017",3,0,18,"17","6",0,0,"68 runs",226,"v Afghanistan","Abu Dhabi","30-Nov-13"
14,"Ireland",61,26,534,36,29,0,0,19.54,7.14,225,18.83,7.13,57,233,53,"GH Dockrell, GJ Thompson","2017-2017",3,0,18,"17","6",0,0,"65 runs",152,"v Netherlands","Dubai (DSC)","13-Feb-10"
14,"Ireland",61,26,534,36,29,0,0,19.54,7.14,225,18.83,7.13,57,233,53,"J Anderson, SW Poynter","2015-2015",1,0,16,"16","16",0,0,"98 runs",212,"v Scotland","Dubai (DSC)","20-Jan-17"
